Chr	Peak_pos	-log10(FDR-adjusted-pvalue)_Coverage_Genotype	-log10(FDR-adjusted-pvalue)_Coverage_Tissue	-log10(FDR-adjusted-pvalue)_Coverage_Interaction	Feature_type	Gene
chr2L	84740	0.753962	17.4456	0.225586	intron	net
chr2L	87592	0.601071	5.74093	2.79646	promoter-TSS	net
chr2L	88762	0.276545	17.4516	2.01456	Intergenic	net
chr2L	91351	0.477244	14.0728	2.28555	Intergenic	Zir
chr2L	92020	0.449009	18.0311	1.55188	Intergenic	Zir
chr2L	93147	0.74796	14.3893	1.57764	Intergenic	Zir
chr2L	93620	0.591217	8.98473	1.30668	Intergenic	Zir
chr2L	94853	0.606278	2.05068	2.75166	exon	Zir
chr2L	102448	0.597848	10.0687	1.87214	promoter-TSS	CG11377
chr2L	106652	0.849679	4.6397	1.1804	promoter-TSS	Nhe1
chr2L	107118	1.90864	7.96689	1.45657	promoter-TSS	Sam-S
chr2L	108095	0.380762	5.08735	1.83801	promoter-TSS	Sam-S
chr2L	109599	0.479549	11.5322	1.91564	promoter-TSS	Sam-S
chr2L	110137	0.634402	15.9745	0.626186	intron	Sam-S
chr2L	114658	0.626065	11.4674	1.26651	promoter-TSS	ND-15
chr2L	119140	1.44355	15.8667	0.227137	exon	CG4822
chr2L	120705	1.03692	8.95696	0.869447	promoter-TSS	CG4822
chr2L	120990	0.73129	8.13107	2.46031	promoter-TSS	CG4822
chr2L	121598	0.331356	5.32534	1.9122	promoter-TSS	CG4822
chr2L	122224	0.73676	10.7534	0.450727	promoter-TSS	CG4822
chr2L	122598	0.964144	12.2907	0.0396935	promoter-TSS	asRNA:CR44969
chr2L	129168	0.289075	14.6394	0.691793	promoter-TSS	CG3164
chr2L	131850	0.558628	9.82767	1.99989	promoter-TSS	Gs1
chr2L	134793	1.03483	6.15162	1.21714	promoter-TSS	lncRNA:CR44185
chr2L	135511	0.283901	12.1455	1.80529	promoter-TSS	lncRNA:CR44185
chr2L	138441	1.80803	16.492	0.738768	TTS	ovm
chr2L	143282	0.9084	5.93087	1.86575	promoter-TSS	CG11454
chr2L	149893	0.878121	14.3719	0.619588	intron	CG42399
chr2L	153231	0.704319	12.3407	1.15542	promoter-TSS	CG42399
chr2L	155943	1.95511	5.40296	0.942189	promoter-TSS	CG3436
chr2L	158846	0.675252	3.00283	1.25949	promoter-TSS	CG33635
chr2L	160836	0.227128	3.1821	1.63868	5'UTR	spen
chr2L	161315	0.147606	1.1102	2.26407	5'UTR	spen
chr2L	161769	0.289652	2.36256	2.04923	5'UTR	spen
chr2L	166031	0.496854	14.1782	0.695671	intron	spen
chr2L	166586	0.479488	8.90724	0.862713	intron	spen
chr2L	168589	0.990855	14.1229	0.629543	intron	spen
chr2L	171813	2.6198	16.9858	1.16824	intron	spen
