Chr Peak_pos -log10(FDR-adjusted-pvalue)_Coverage_Genotype -log10(FDR-adjusted-pvalue)_Coverage_Tissue -log10(FDR-adjusted-pvalue)_Coverage_Interaction Feautre_type Gene
chr2L 84740 0.923839 20.8716 0.152274 Annotation Gene
chr2L 87592 0.70715 7.23573 2.70095 intron net
chr2L 88762 0.38524 20.4708 1.29939 promoter-TSS net
chr2L 91351 0.592818 16.8406 1.58012 Intergenic net
chr2L 92020 0.582087 20.8781 1.73966 Intergenic Zir
chr2L 93147 0.517694 15.8053 2.91966 Intergenic Zir
chr2L 93620 0.578896 10.8553 1.27209 Intergenic Zir
chr2L 94853 0.746727 2.95402 2.90024 Intergenic Zir
chr2L 102448 0.762809 12.3976 1.91569 exon Zir
chr2L 106652 1.06322 5.72661 1.36163 promoter-TSS CG11377
chr2L 107118 2.39736 9.63479 1.68981 promoter-TSS Nhe1
chr2L 108095 0.420445 6.61332 1.95024 promoter-TSS Sam-S
chr2L 109599 0.706098 13.5519 2.20978 promoter-TSS Sam-S
chr2L 110137 1.03324 16.8394 1.49358 promoter-TSS Sam-S
chr2L 114658 0.774201 12.7828 1.89431 intron Sam-S
chr2L 119140 2.75042 18.8009 0.170534 promoter-TSS ND-15
chr2L 120705 1.36701 10.953 0.844978 exon CG4822
chr2L 120990 0.782664 9.86642 2.99682 promoter-TSS CG4822
chr2L 121598 0.338566 6.26849 2.22108 promoter-TSS CG4822
chr2L 122224 1.16785 13.1526 0.30507 promoter-TSS CG4822
chr2L 122598 1.60116 14.6435 0.0401106 promoter-TSS CG4822
chr2L 129168 0.273283 17.0594 0.699598 promoter-TSS asRNA:CR44969
chr2L 131850 0.641106 11.5978 2.21124 promoter-TSS CG3164
chr2L 134793 1.26758 7.27135 1.25502 promoter-TSS Gs1
chr2L 135511 0.294519 13.8316 2.43269 promoter-TSS lncRNA:CR44185
chr2L 138441 2.1815 19.5795 0.822124 promoter-TSS lncRNA:CR44185
chr2L 140218 0.397893 20.1797 0.991946 TTS ovm
chr2L 141302 0.526623 19.3345 0.166023 promoter-TSS ovm
chr2L 143282 0.777492 6.5796 2.7935 promoter-TSS CG31975
chr2L 149893 0.941963 16.9145 0.649822 promoter-TSS CG11454
chr2L 153231 0.786611 14.5274 1.30117 intron CG42399
chr2L 155943 2.35314 6.79614 0.915679 promoter-TSS CG42399
chr2L 158846 0.725782 3.94126 1.48803 promoter-TSS CG3436
chr2L 160836 0.232812 4.11234 1.58131 promoter-TSS CG33635
chr2L 161315 0.142104 1.54737 2.14251 5'-UTR
chr2L 161769 0.312845 3.01469 2.03719 5'-UTR
chr2L 166031 0.592304 16.5892 0.582522 5'-UTR
chr2L 166586 0.520336 10.8872 0.814563 intron spen
chr2L 168589 1.45206 16.6416 0.415997 intron spen
chr2L 171813 2.37927 18.9704 2.03348 intron spen
chr2L 179270 0.393259 17.1754 1.12648 intron spen
chr2L 181455 0.238135 16.4314 1.7443 intron spen
chr2L 182936 0.386924 9.11127 1.90395 intron spen
chr2L 188205 0.109138 6.38233 0.758237 5'-UTR
chr2L 190803 9.11726e-05 7.95623 1.96587 exon spen
chr2L 193320 0.354145 9.72773 0.0958473 exon spen
chr2L 194786 0.218573 10.0704 0.455393 exon mRpL10
chr2L 195353 0.598797 9.3195 0.464832 exon mRpL10
chr2L 195850 0.541679 8.33725 0.637855 exon mRpL10
chr2L 196608 0.379878 11.9446 0.113465 exon mRpL10
chr2L 197135 0.16148 8.72197 0.610796 exon mRpL10
chr2L 199014 1.14197 11.4916 0.112091 exon mRpL10
chr2L 202376 0.48356 7.5027 0.421744 exon mRpL10
chr2L 203692 0.653564 7.39791 2.50629 TTS mRpL10
chr2L 207453 0.572045 2.95162 1.56029 promoter-TSS mRpL10
chr2L 209809 0.210799 9.7856 1.34583 promoter-TSS Tbc1d15-17
chr2L 210067 0.493447 11.4045 0.915871 TTS Tbc1d15-17
chr2L 210357 0.342059 13.6869 0.512664 TTS Tbc1d15-17
chr2L 211404 0.253984 8.24257 1.41038 TTS Tbc1d15-17
chr2L 212730 0.0772775 7.11084 1.61347 TTS Tbc1d15-17
chr2L 213348 0.246652 9.3344 1.14161 exon Tbc1d15-17
chr2L 213796 0.289697 11.3599 0.0448034 exon Tbc1d15-17
chr2L 214235 0.414037 8.87661 0.457346 exon lncRNA:CR44220
chr2L 214702 0.117393 7.47062 1.08433 exon lncRNA:CR44220
chr2L 215169 0.257871 7.66489 0.715155 exon lncRNA:CR44220
chr2L 220266 1.98997 14.2292 0.713589 exon lncRNA:CR44220
chr2L 220748 2.50637 9.08315 0.53417 TTS lncRNA:CR44220
chr2L 222250 0.393007 6.83227 1.70403 TTS lncRNA:CR44220
chr2L 222755 0.38029 14.4871 2.0422 promoter-TSS kis
chr2L 223340 0.199319 17.5871 3.02319 promoter-TSS lncRNA:CR44222
chr2L 224506 0.472485 14.6904 1.78781 promoter-TSS lncRNA:CR44222
chr2L 224787 0.467163 17.1313 1.63325 non-coding lncRNA:CR44222
chr2L 230847 0.736011 12.1448 0.968126 TTS lncRNA:CR44222
chr2L 231925 0.492309 13.1045 0.275235 exon snoRNA:kis-a
chr2L 232697 0.560714 14.2298 0.199026 promoter-TSS snoRNA:kis-a
chr2L 239998 0.0368939 6.28802 2.86059 promoter-TSS CG13693
chr2L 240328 0.130689 9.50045 0.531773 exon mir-965
chr2L 240937 0.977345 6.33671 0.653495 exon mir-965
chr2L 243829 0.292308 9.93467 2.49891 exon mir-965
chr2L 244435 1.77538 8.48718 1.15334 promoter-TSS mir-965
chr2L 247087 0.681933 10.3611 1.99876 intron mir-965
chr2L 247333 0.260097 10.4802 2.9666 intron lncRNA:CR44218
chr2L 248024 0.1015 10.1906 4.01584 intron lncRNA:CR44218
chr2L 249259 0.434854 3.64252 1.07911 promoter-TSS lncRNA:CR44218
chr2L 249606 0.104799 9.53374 2.70701 non-coding lncRNA:CR44218
chr2L 250394 0.280604 9.04327 0.90518 non-coding lncRNA:CR44218
chr2L 250695 0.210728 5.68259 1.13502 TTS kis
chr2L 258679 0.494162 13.6618 1.42809 TTS kis
chr2L 259304 0.103869 13.5532 1.03993 intron lncRNA:CR44219
chr2L 267686 1.01994 15.262 2.18898 TTS lncRNA:CR44219
chr2L 271864 0.467163 10.3873 1.10082 promoter-TSS CG17075
chr2L 273832 0.389806 3.86739 1.39777 promoter-TSS CG3645
chr2L 277409 0.488592 3.91717 1.78768 promoter-TSS CG11555
chr2L 283255 0.719113 8.82716 6.54548 promoter-TSS smo
chr2L 285880 1.57216 14.0822 1.82944 promoter-TSS CG11601
chr2L 292142 2.08612 13.6087 1.37351 promoter-TSS CG3625
chr2L 292535 1.7536 0.504247 1.7541 promoter-TSS CG11562
chr2L 294912 0.691755 3.27437 2.10315 promoter-TSS CG11562
chr2L 298047 0.308537 0.651259 0.728886 promoter-TSS Stip1
chr2L 303457 0.454981 14.9134 1.06783 TTS Pi3K21B
chr2L 305848 0.652579 8.65778 2.26802 3'-UTR
chr2L 309531 0.427429 17.7817 2.44861 promoter-TSS Plc21C
chr2L 310095 0.24624 16.3526 2.14337 promoter-TSS lncRNA:CR43719
chr2L 311286 1.89632 7.56103 1.71644 promoter-TSS Plc21C
chr2L 315245 1.89929 16.2133 1.07633 intron Plc21C
chr2L 317398 0.329043 7.88483 0.757209 intron CG11912
chr2L 322518 2.17637 5.8464 0.448955 TTS CG11912
chr2L 332782 0.946215 14.8011 1.00817 exon CG33127
chr2L 333206 0.211279 12.5322 2.24393 promoter-TSS CG31921
chr2L 335694 0.987166 16.2776 1.06384 promoter-TSS CG31921
chr2L 336114 0.926817 17.6866 0.962429 intron CG31921
chr2L 337038 0.690344 10.8868 2.87847 exon CG31921
chr2L 339860 0.549211 8.59605 0.743897 exon CG31921
chr2L 341265 0.830815 13.8014 0.596619 intron CG31921
chr2L 346933 0.325561 9.86103 3.13976 intron CG31921
chr2L 356502 1.43376 9.64175 0.535443 TTS asRNA:CR45367
chr2L 357796 1.37181 3.4148 2.96663 promoter-TSS asRNA:CR45366
chr2L 358075 1.18623 17.6015 2.16878 promoter-TSS Ent1
chr2L 366372 0.208857 17.2291 1.37691 promoter-TSS Ent1
chr2L 368858 0.674955 22.7526 0.623267 Intergenic Ent1
chr2L 370816 0.688842 18.8471 0.750852 Intergenic al
chr2L 377960 0.780986 21.5062 0.561455 Intergenic al
chr2L 381442 0.633398 21.0794 0.345552 promoter-TSS al
chr2L 383131 0.387851 20.662 0.369443 intron al
chr2L 383477 0.150628 20.2799 0.58546 intron al
chr2L 390058 0.371628 19.9417 1.04786 intron al
chr2L 391211 0.55266 18.3019 0.340065 Intergenic lncRNA:CR43718
chr2L 392008 0.605285 16.7572 1.96606 Intergenic lncRNA:CR43718
chr2L 393598 1.45566 20.2306 0.173732 Intergenic lncRNA:CR43718
chr2L 394182 0.160961 19.3733 0.698531 Intergenic lncRNA:CR43718
chr2L 394466 0.101069 18.0704 1.79635 Intergenic lncRNA:CR43718
chr2L 395479 0.254514 17.3911 1.04518 Intergenic lncRNA:CR43718
chr2L 395722 0.0813579 16.9345 1.40204 promoter-TSS lncRNA:CR43718
chr2L 399652 0.213219 12.2955 0.741544 promoter-TSS lncRNA:CR43718
chr2L 404087 2.48287 8.35029 1.30819 intron CG4213
chr2L 406928 0.00922651 5.85228 0.429523 promoter-TSS RpI135
chr2L 407388 0.129471 1.80357 0.759904 exon RpI135
chr2L 407827 1.38688 2.50256 0.592746 TTS RpI135
chr2L 413149 0.370864 11.0273 1.56256 TTS RpI135
chr2L 414904 3.29366 6.0953 0.713651 promoter-TSS AP-2alpha
chr2L 419828 0.346269 5.06746 1.81698 promoter-TSS AP-2alpha
chr2L 421363 1.46561 7.47289 2.72997 promoter-TSS RpLP1
chr2L 423327 0.279315 21.9496 0.10915 promoter-TSS CG11885
chr2L 426389 0.363452 20.0714 0.400299 TTS BBS8
chr2L 427850 0.182604 21.2665 2.00513 Intergenic BBS8
chr2L 429568 0.331139 22.7624 0.546194 Intergenic ex
chr2L 429966 0.291825 23.5791 0.397396 Intergenic ex
chr2L 430269 0.0305206 22.447 0.847976 Intergenic ex
chr2L 430782 0.157078 23.9392 0.491103 promoter-TSS ex
chr2L 431371 0.273846 21.5048 1.08133 promoter-TSS ex
chr2L 435650 0.842563 19.5667 0.989244 5'-UTR
chr2L 439137 1.01574 24.4217 0.0819149 intron lncRNA:CR43717
chr2L 439480 0.381743 24.1685 0.339164 promoter-TSS lncRNA:CR43717
chr2L 440612 0.370364 23.2162 0.646874 promoter-TSS lncRNA:CR43717
chr2L 441112 0.408792 24.2397 0.215096 TTS lncRNA:CR43717
chr2L 441747 0.702106 23.8124 0.774013 intron lncRNA:CR43717
chr2L 442174 0.511712 23.8124 0.553228 intron lncRNA:CR43717
chr2L 447878 0.347574 9.57919 1.56922 intron lncRNA:CR43717
chr2L 452960 1.28306 4.89631 0.472992 TTS crq
chr2L 455671 0.813421 19.0597 1.25913 promoter-TSS crq
